vec,deltachi,delta,deltahmix,deltasmix,phase
7.6,0.13,6.65,-18.35,12.92,2
8.5,0.136,3.0,1.45,14.9,1
7.54,0.12,5.51,-7.93,14.7,2
4.34,0.107,5.3,-4.86,13.46,1
7.11,0.153,5.76,-11.61,14.59,2
6.06,0.177,8.95,-16.97,14.74,0
7.44,0.099,3.2,-4.89,9.6,1
7.24,0.10300000000000001,4.28,-6.52,10.18,0
6.76,0.12,6.5,-25.23,14.87,2
7.51,0.145,6.76,-12.89,15.97,2
7.0,0.11800000000000001,6.36,-22.57,16.0,1
8.0,0.10800000000000001,4.75,-7.03,13.09,1
8.06,0.129,4.94,-10.65,13.38,1
8.62,0.032,2.03,-11.83,10.69,1
5.86,0.175,8.81,-18.21,14.53,0
7.47,0.124,3.92,-6.81,15.72,1
8.17,0.10099999999999999,2.3,-5.47,12.21,2
9.43,0.032,3.4,5.05,11.93,2
7.43,0.14800000000000002,5.59,-8.85,17.69,1
7.86,0.11900000000000001,4.07,-4.71,15.99,2
8.27,0.109,4.17,-1.52,14.7,1
6.87,0.13,6.48,-9.77,14.21,2
6.97,0.13,6.4,-9.38,14.35,2
7.08,0.19,9.67,-18.14,14.22,2
7.28,0.13,6.16,-15.07,14.5,1
7.53,0.124,3.95,-6.5,15.82,1
8.09,0.127,2.38,-4.16,12.83,1
7.82,0.124,5.4,-5.55,14.7,2
7.5,0.124,5.69,-3.4,13.35,2
6.67,0.11900000000000001,6.61,-27.34,14.9,2
6.96,0.233,12.17,-23.08,14.59,2
7.82,0.139,4.01,-6.15,14.2,2
8.48,0.10800000000000001,3.21,2.31,12.57,1
7.92,0.14300000000000002,4.96,-1.74,14.73,1
7.92,0.11900000000000001,5.2,-8.42,14.23,1
7.09,0.149,7.1,-15.4,14.7,2
7.29,0.14300000000000002,6.78,-13.8,16.18,2
6.71,0.147,6.2,-12.65,12.57,2
6.27,0.133,6.73,-18.84,14.7,0
7.12,0.105,4.78,-7.44,10.43,0
7.09,0.134,6.58,-15.5,15.55,1
4.25,0.13,4.87,2.5,11.53,1
7.5,0.21100000000000002,10.0,-23.9,14.9,2
6.0,0.18,9.04,-18.5,14.78,0
7.15,0.147,5.9,-11.48,18.21,1
7.89,0.12,5.07,-2.14,13.31,1
7.22,0.136,4.32,-10.44,15.91,0
6.91,0.25,13.17,-25.25,14.7,2
7.4,0.14300000000000002,3.33,-9.12,13.38,2
8.11,0.11599999999999999,4.53,-0.59,13.14,1
6.0,0.205,11.5,-24.9,14.9,0
7.43,0.14800000000000002,5.59,-8.85,17.69,1
7.6,0.147,5.06,-4.23,14.73,1
7.69,0.122,4.01,-5.73,15.97,1
4.6,0.228,8.68,-34.08,13.38,0
7.79,0.122,5.29,-2.81,13.35,1
7.61,0.141,6.54,-11.59,16.0,2
6.91,0.127,6.5,-18.02,14.85,2
7.46,0.125,5.89,-7.05,14.78,2
7.72,0.14,5.18,-5.64,16.18,2
7.38,0.14800000000000002,5.44,-10.69,14.23,2
8.36,0.122,4.82,-3.7,14.7,1
7.96,0.11699999999999999,4.36,-8.9,12.83,2
8.0,0.195,4.21,-4.0,13.38,2
6.2,0.248,10.43,-15.84,13.38,1
7.2,0.159,5.92,-12.08,14.53,0
7.0,0.158,5.6,-10.84,14.53,0
6.75,0.127,5.64,-9.32,12.9,1
4.4,0.11800000000000001,4.99,2.72,13.38,1
7.36,0.14800000000000002,5.68,-9.52,17.89,1
8.8,0.092,1.03,3.2,13.38,1
6.75,0.13,6.57,-9.31,13.86,2
5.4,0.34299999999999997,3.15,-4.64,13.38,1
4.79,0.282,6.73,-2.7,13.33,1
6.38,0.14,7.29,-22.71,14.78,2
7.5,0.138,4.05,-0.96,9.92,1
6.46,0.125,6.03,-11.29,12.94,1
7.8,0.109,5.8,-11.95,11.47,2
7.4,0.11800000000000001,5.58,-2.56,13.38,2
2.8,0.225,5.16,-0.4,12.95,1
7.16,0.122,5.92,-13.32,13.92,2
7.61,0.12300000000000001,3.98,-6.14,15.91,1
5.63,0.20600000000000002,10.44,-21.13,13.86,0
7.27,0.133,6.38,-14.39,15.55,1
7.73,0.122,5.45,-4.49,14.7,2
6.96,0.12,6.21,-19.84,14.59,1
6.4,0.259,10.24,-23.52,13.38,1
7.27,0.127,6.13,-8.08,14.65,2
7.63,0.13,5.61,-12.25,12.97,2
7.08,0.133,6.54,-17.17,14.53,1
7.5,0.136,3.29,-7.56,14.9,1
7.7,0.12,5.38,-11.94,12.91,2
7.46,0.129,14.1,-11.02,16.0,0
8.67,0.163,3.73,-5.78,9.13,1
7.83,0.163,5.17,-9.96,14.39,2
9.41,0.032,3.94,5.07,12.05,2
8.14,0.133,5.7,-6.75,14.87,2
7.9,0.11599999999999999,5.55,-17.43,11.64,2
8.63,0.135,2.7,3.25,12.97,1
7.14,0.128,6.26,-8.65,14.53,2
8.95,0.135,4.15,1.78,13.71,2
7.0,0.12300000000000001,6.12,-13.43,13.35,0
7.6,0.124,5.63,-4.0,13.38,2
9.37,0.033,4.61,5.09,12.2,2
8.0,0.031,3.05,-24.96,11.47,2
7.38,0.121,5.64,-9.94,14.34,1
7.86,0.138,3.29,-5.3,14.34,1
6.9,0.165,5.93,-11.72,14.53,2
8.43,0.09699999999999999,4.97,-4.98,12.27,1
7.73,0.13699999999999998,6.26,-10.11,15.99,2
